food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
만두_물만두,100g,195,8.06,11.13,15.61,2.13,3.1,3.08,0.05,94
만두국_사골,100g,87,3.74,4,8.94,0.06,1.1,1.71,0.06,230
메밀국수_온면,100g,63,3.14,0.29,12.06,0,0.8,0.12,0,462
수제비,100g,58,2.31,0.52,11.08,0,1.1,0.15,0,288
스파게티_미트볼,100g,180,7.34,8.88,17.62,0.89,2.7,1.44,0.03,50
우동_일식,100g,158,1.78,3.22,30.48,0.02,0.8,0.3,0.04,470
우동볶음,100g,128,2.8,2.01,24.79,0.43,2.0,0.49,0.03,385
월남쌈,100g,118,5.94,4.97,12.25,5.5,1.8,2.13,0.02,194
자장면,100g,88,2.69,2.22,14.37,6.07,1.4,0.38,0.01,83
짬뽕,100g,58,2.79,1.54,8.26,1.57,1.6,0.25,0.01,58
쫄면,100g,129,3.21,2.52,23.26,3.51,1.6,0.22,0,406
칼국수,100g,77,3.3,0.49,14.9,0,1.6,0.2,0,629
칼국수_바지락,100g,82,3.43,0.53,15.97,0.18,0.3,0.11,0,83
콩국수,100g,81,3.9,3.35,8.92,0.24,1.9,0.17,0,150
닭죽,100g,44,2.68,0.57,7.14,0,0.1,0.33,0.01,222
스프_양송이버섯,100g,105,2.41,7.04,8.06,2.52,1.6,3.93,0.1,388
오리죽,100g,155,7.5,4.99,19.95,0,1.7,1.16,0.02,229
전복죽,100g,79,1.82,3.73,9.62,0,1.6,0.19,0,364
채소죽,100g,43,1.69,0.69,7.62,0.17,1.5,0.18,0,460
팥죽,100g,81,3.17,0.19,16.66,0.02,2.1,0.07,0,181
호박죽,100g,49,1.93,1.71,6.58,3.56,2.6,0.04,0,317
흑임자죽,100g,61,1.1,4.73,3.64,0.75,0.7,0.28,0.09,629
갈비탕,100g,54,8.51,2.06,0.4,0.11,1.9,0.79,0.06,0
감자국,100g,21,0.9,0.26,3.67,0.85,0.7,0.03,0,320
곰탕,100g,24,3.43,1.12,0.11,0,1.1,0.41,0.05,413
곰탕_우거지,100g,25,2.37,0.6,2.6,0.33,1.1,0.14,0,280
굴국_무,100g,25,2.41,0.36,2.93,0.14,0.7,0.09,0,49
김치국,100g,23,1.34,0.76,2.63,0.03,0.7,0.19,0,808
김치국_콩나물,100g,12,0.82,0.47,1.15,0.49,0.6,0.09,0,431
내장탕,100g,71,5.82,4.52,1.68,0.05,1.9,1.78,0.01,771
냉국_미역,100g,37,0.19,0.67,7.51,4.49,0.4,0.01,0,783
냉국_미역_오이,100g,6,0.37,0.15,0.85,0.69,0.7,0.01,0,831
달걀국,100g,13,0.93,0.74,0.69,0,0.2,0.27,0,738
달걀탕_순두부,100g,29,1.78,2.04,0.94,0,0.8,0.37,0,50
닭곰탕,100g,51,7.51,1.42,2,0.3,0.7,0.3,0,50
도가니탕,100g,40,8.35,0.33,0.82,0,1.3,0.13,0.01,315
된장국_감자,100g,25,1.09,0.6,3.7,0.77,0.6,0.05,0,31
된장국_냉이,100g,22,1.71,0.66,2.2,0.3,1.3,0.09,0,465
된장국_미역,100g,24,1.56,0.97,2.28,0.61,2.7,0.07,0,16
된장국_배추,100g,20,1.46,0.4,2.58,0,0.6,0.06,0,467
된장국_시금치,100g,9,1.02,0.17,0.98,0.11,0.4,0.03,0,389
된장국_시래기,100g,15,1.31,0.22,2.03,0,1.9,0.03,0,57
된장국_쑥,100g,15,1.22,0.47,1.52,0.73,0.8,0.06,0,513
된장국_아욱,100g,20,2.28,0.56,1.59,0.11,1.2,0.08,0,160
된장국_얼갈이배추,100g,9,0.5,0.41,0.85,0.06,0.5,0.02,0,881
된장국_우거지,100g,20,2.77,0.59,0.82,0.63,0.8,0.13,0,120
된장국_콩나물,100g,31,2.58,1.11,2.62,0.53,1.0,0.1,0,440
된장국_해물,100g,28,2.1,0.98,2.68,0.45,1.0,0.13,0,180
된장국_호박,100g,31,3.34,1.31,1.41,0.49,0.9,0.15,0,662
된장국_호박잎,100g,7,0.4,0.32,0.54,0.07,0.2,0.02,0,662
무국_소고기,100g,15,1.33,0.64,1.1,0,0.7,0.09,0.01,613
무국_홍합,100g,25,0.79,2.03,0.86,0.24,0.8,0.01,0,257
묵국_메밀묵,100g,22,1,0.4,3.57,0.28,0.8,0.03,0,98
미역국,100g,12,0.65,0.61,0.87,0.27,0.4,0.05,0,453
미역국_대합,100g,11,1.23,0.45,0.56,0.01,0.8,0.16,0.01,150
미역국_새우,100g,16,1.09,0.46,1.83,0,0.7,0.03,0,85
미역국_소고기,100g,13,1.86,0.26,0.82,0.52,0.6,0.04,0,150
배추국_소고기,100g,16,1.84,0.41,1.14,0,0.5,0.09,0.01,100
북어국,100g,28,3.89,0.98,0.84,0.12,1.1,0.17,0,85
사골국,100g,55,5.56,2.42,2.81,0,0.8,0.94,0.08,90
삼계탕,100g,101,10.68,4.8,3.84,0.45,1.6,1.29,0.03,83
새우탕,100g,33,5.17,0.44,2,0.06,1.4,0.09,0,90
설렁탕,100g,24,4.26,0.58,0.36,0,1.0,0.23,0.02,83
순대국,100g,85,2.35,1.75,14.95,0.26,2.1,0.5,0.01,93
어묵국(어묵탕),100g,31,1.49,1.03,3.83,0.07,0.4,0.07,0,230
오징어국,100g,18,2.22,0.73,0.73,0.24,0.3,0.08,0,369
육개장,100g,30,3.68,0.99,1.49,0.76,1.2,0.17,0,528
육개장_닭고기,100g,20,2.74,0.42,1.41,0.57,0.7,0.15,0,212
장어탕,100g,67,4.32,3.91,3.68,2.66,1.1,0.63,0.02,327
재첩국,100g,23,0.67,0.29,4.54,0,0.1,0.01,0,38
조개국,100g,16,1.67,0.89,0.25,0.18,0.6,0.05,0,60
콩나물국,100g,6,0.74,0.09,0.61,0.16,0.4,0.03,0,60
토란국,100g,16,1,0.12,2.61,0.27,0.1,0.04,0,730
해장국_뼈다귀,100g,26,3.19,0.97,1.06,0.63,0.3,0.21,0,621
해장국_선지,100g,29,3.86,0.96,1.23,0,0.4,0.13,0,325
갈치찌개,100g,38,5.27,1,1.95,0.98,0.8,0.3,0,223
감자탕,100g,71,6.31,4.06,2.27,0,2.4,1.16,0.01,151
김치전골,100g,73,3.12,4.23,5.68,0.79,1.6,0.67,0.01,1153
김치찌개_꽁치,100g,89,7.14,5.18,3.54,0.7,2.6,0.93,0.72,415
김치찌개_돼지고기,100g,45,4.25,2.71,1.04,0.05,1.5,0.48,0.01,331
김치찌개_어묵,100g,38,1.82,0.59,6.31,1.6,1.3,0.15,0,583
김치찌개_참치,100g,51,3.59,2.82,2.9,0.15,1.6,0.26,0.03,1418
김치찌개_햄,100g,31,1.47,1.39,3.17,0.04,1.0,0.45,0.01,178
꽃게탕,100g,17,1.86,0.41,1.44,0.95,0.8,0.04,0,767
낙지전골,100g,51,6.5,1.14,3.72,0,1.5,0.33,0.02,387
동태국,100g,17,2.42,0.16,1.4,0,1.0,0.02,0,301
동태찌개,100g,44,6.11,1.37,1.72,0.13,1.8,0.2,0.01,7
돼지고기찌개,100g,48,6.25,1.51,2.26,0.13,1.3,0.21,0,1057
된장찌개,100g,46,3.38,1.63,4.44,0,1.6,0.27,0,49
된장찌개_냉이,100g,19,1.17,0.31,2.91,0.55,1.3,0.04,0,369
된장찌개_달래,100g,35,3.18,0.79,3.81,0.41,1.6,0.18,0,311
된장찌개_두부,100g,41,3.25,1.96,2.56,0.99,0.9,0.28,0,212
된장찌개_바지락,100g,23,2.88,0.72,1.18,0.56,1.1,0.17,0,541
두부찌개_고추장,100g,52,4.01,2.63,3.18,0.8,0.6,0.35,0,541
두부찌개_소고기_고추장,100g,58,4.56,1.42,6.73,0.17,1.9,0.28,0,323
두부찌개_소고기_된장,100g,55,5.71,1.98,3.5,0.72,1.8,0.41,0.01,327
매운탕_대구,100g,22,4.49,0.4,0.19,0,0.9,0.15,0.01,699
매운탕_해물,100g,35,4.85,0.64,2.51,0.45,1.6,0.18,0.01,699
버섯전골,100g,78,5.14,4.24,4.78,1.18,2.9,0.98,0.11,858
부대찌개,100g,123,5.86,6.49,10.27,0.18,2.3,1.68,0.05,454
샤브샤브_버섯,100g,30,3.88,0.9,1.57,0.53,1.3,0.62,0.03,132
샤브샤브_소고기,100g,43,5.38,1.62,1.8,1.49,1.2,0.18,0,110
소고기전골,100g,63,7.89,3.24,0.46,0.05,0.5,0.69,0.15,3
순두부찌개_김치,100g,35,2.98,1.59,2.17,0.32,1.0,0.46,0.01,0
알탕,100g,39,6.37,0.74,1.74,0,1.6,0.16,0.01,819
오리백숙,100g,112,10.59,7.5,0.5,0.25,1.1,1.56,0.05,0
오리탕,100g,121,9.5,6.56,6.08,3.58,2.5,1.33,0.04,36
오징어찌개,100g,34,3.3,0.22,4.77,0.45,1.3,0.05,0,638
청국장찌개,100g,47,5.03,2.11,1.92,0,1.7,0.45,0.01,806
추어탕,100g,54,3.24,3.18,3.07,0,2.2,0.31,0.01,50
콩비지찌개,100g,69,6.74,3.08,3.57,3.25,2.0,0.51,0.01,50
호박찌개_고추장,100g,41,2.08,0.99,5.96,0.56,1.2,0.1,0,49
고구마_찐고구마,100g,139,1.67,0.24,32.47,16.32,2.9,0.05,0.01,312
가오리찜,100g,102,21.99,1.39,0.46,0.06,2.4,0.26,0,105
갈비찜_소고기,100g,85,7.25,3.17,6.95,0.75,2.0,0.85,0.1,5
감자_찐감자,100g,70,2.16,0.16,15.01,0.86,1.7,0.03,0,6
깻잎찜,100g,97,5.21,5.86,5.96,1.33,3.7,0.46,0.02,2
꼬막찜,100g,96,12.03,2.28,6.97,1.03,2.9,0.59,0.04,4
꽈리고추찜,100g,104,3.59,2.09,17.69,0.44,4.4,0.37,0.01,3
달걀찜_새우젓,100g,58,4.98,4.04,0.47,0,0.1,1.22,0.02,9
달걀찜_우유,100g,105,8.23,6.31,3.8,2.55,1.1,2.5,0.09,10
닭찜,100g,107,12.37,6.09,0.6,0,0.8,0.98,0.02,5
돼지갈비찜,100g,194,13.29,12.32,7.44,0.13,3.0,3.68,0.13,5
사태찜_소고기,100g,110,12.1,5.17,3.67,0.13,1.6,1.13,0.14,0
수육_소고기,100g,166,28.43,4.94,2.04,0.11,4.7,1.89,0.26,6
순대,100g,187,2.75,3.64,35.73,1.39,1.9,1.12,0.02,2
아귀찜,100g,84,6.72,3.13,7.26,2.73,3.1,0.48,0.02,4
애호박찜,100g,181,9.5,6.48,21.18,1.81,2.2,1.44,0.07,3
옥수수_찐옥수수,100g,185,6.68,2.42,34.2,2.36,5.7,0.29,0,9
족발,100g,233,26.04,13.91,0.93,0,2.3,4.66,0.06,10
코다리찜,100g,94,14.49,1.35,6.08,2.5,1.9,0.31,0.01,5
콩나물찜_해물,100g,56,6.67,1.01,4.97,0,2.5,0.21,0,5
풋고추찜,100g,51,2.31,0.99,8.27,1.44,4.1,0.14,0,1
가자미구이,100g,123,18.7,5.02,0.66,0,1.5,0.82,0.1,3
갈비구이_소고기,100g,241,25.91,14.55,1.59,0.26,1.8,5.62,0.6,1
갈치구이_기름,100g,138,21.54,5.48,0.6,0,6.7,1.31,0.05,805
고등어구이_석쇠,100g,340,23.38,25.69,3.79,0,2.4,6.95,0.33,10
곱창구이_소고기,100g,184,14.89,11.73,4.71,1.11,2.1,4.11,0.31,27
김구이_조미김,100g,470,20.4,30.2,29,0.2,24.0,3,0.2,0
꼬치구이_닭고기_대파,100g,245,17.85,14.7,10.35,1.66,3.7,4.16,0.13,0
닭구이,100g,257,26.21,13.39,7.8,0,4.2,3.75,0.05,0
닭발구이,100g,196,18.15,9.41,9.7,0.31,3.0,2.58,0.06,1
떡갈비,100g,202,21.38,11.82,2.46,0.4,1.1,4.29,0.42,7
런천미트구이,100g,303,17.56,24.38,3.27,1.71,2.3,9.01,0.16,1
뱅어포구이,100g,374,34.37,15.17,25.07,15.91,7.6,3,0.11,1
버섯구이,100g,52,5.16,1.38,4.78,0.11,3.6,0.41,0.01,0
버섯구이_새송이버섯,100g,84,4.29,2.21,11.66,4.54,5.7,0.28,0.01,0
버섯구이표고버섯,100g,100,4.34,1.06,18.14,1.4,11.1,0.65,0.04,3
삼겹살구이,100g,467,22.56,41.69,0.35,0,0.7,12.42,0.34,0
삼겹살구이_고추장,100g,403,14.21,32.83,12.63,5.73,4.1,13.1,0.29,17
삼치구이,100g,178,21.42,9.57,1.45,0.22,1.4,2.02,0.07,17
새우구이,100g,145,23.41,4.44,2.82,0.03,2.1,0.74,0.05,17
소불고기,100g,170,16.41,9.66,4.26,3.24,3.5,3.26,0.2,396
스테이크_소등심,100g,194,30.22,8.07,0.14,0,1.2,3.85,0.35,421
스테이크_소안심,100g,183,34.82,4.83,0.13,0,1.9,0.22,0,486
오리고기구이,100g,293,24.06,19.7,4.89,0,2.2,4.82,0.09,265
오리불고기,100g,145,6.75,9.05,9.05,6.29,3.6,2.04,0.05,406
장어구이_고추장,100g,259,19.82,17.21,6.18,0.44,2.0,4.68,0.34,5
조개구이_키조개,100g,130,17.43,2.07,10.44,3.6,3.9,0.09,0,1
조기구이,100g,177,19.33,10.86,0.44,0,0.4,3.08,0.12,60
참치구이_머리,100g,193,26.56,8.98,1.4,0,6.3,2.76,0.08,24
치킨데리야끼,100g,208,16.54,9.01,15.21,0.11,1.4,2.59,0.06,24
함박스테이크,100g,174,12.1,10.73,7.19,0.06,1.3,3.3,0.13,0
가지전,100g,123,5.48,7.28,8.88,0.84,2.3,1.8,0.1,0
감자전,100g,133,1.72,6.54,16.79,1.81,2.0,0.89,0.05,32
고구마전,100g,227,2.92,7.98,35.99,14.26,3.6,1.19,0.06,32
김치전,100g,134,5.05,4.2,19.01,4.21,2.4,0.87,0.04,200
달걀말이,100g,193,17.21,13.21,1.45,0,1.2,3.33,0.08,50
달걀부침(달걀후라이),100g,208,15.73,13.78,5.15,0.03,8.4,3.72,0.1,1086
달걀부침(달걀후라이)_햄,100g,277,12.71,21.59,8.06,0,1.5,6.65,0.21,9
두부부침,100g,140,10.92,9.77,2.07,0.24,0.7,1.45,0.03,245
맛살전,100g,165,7.48,6.24,19.69,1.14,1.0,1.21,0.06,730
메밀전,100g,161,4.02,0.64,34.79,0.3,3.0,0.26,0,594
버섯전_표고버섯,100g,181,10.13,9.98,12.74,1.89,7.4,2.18,0.19,178
부추전,100g,167,4.63,4.17,27.86,8.28,2.9,0.8,0.05,164
산적_돼지고기,100g,200,29.06,8.56,1.55,0.06,5.1,2.41,0.05,157
스크램블드에그,100g,216,11.81,17.59,2.56,0.45,4.6,3.2,0.07,39
애호박전,100g,122,4.35,8.62,6.73,2.32,2.1,1.33,0.08,132
완자전_돼지고기,100g,139,14.78,5.95,6.51,2.56,3.9,1.77,0.05,123
완자전_소고기,100g,162,18.73,7.56,4.68,0.2,4.0,1.61,0.1,120
완자전_참치,100g,173,15,6.49,13.57,3.69,2.7,1.5,0.08,8
완자전_해물,100g,222,11.46,11.61,18.04,3.41,1.8,3.43,0.17,110
채소전,100g,145,3.57,4.5,22.59,2.06,2.8,0.89,0.06,162
파전_해물,100g,171,5.5,8.4,18.29,0.82,1.6,1.04,0.03,100
감자볶음,100g,100,1.75,4.84,12.41,3.37,1.7,0.63,0.03,52
감자볶음_채소,100g,108,2.04,5.22,13.1,0.12,2.0,0.69,0.05,102
건새우볶음,100g,304,41.55,12.95,5.4,4.05,7.3,1.75,0.1,49
곱창볶음_돼지고기,100g,130,7.23,3,18.52,3.27,3.4,1.05,0.01,58
김치볶음,100g,106,1.38,7.94,7.27,4.45,3.2,0.87,0.08,63
김치볶음_참치,100g,122,8.33,6.68,7.12,1.83,3.0,0.64,0.11,85
낙지볶음,100g,91,5.77,3.77,8.6,7.91,2.8,0.44,0.02,119
닭발볶음,100g,186,13.8,9.38,11.72,6.37,2.6,2.2,0.1,36
닭볶음(닭갈비),100g,186,13.98,10.96,7.93,0.77,1.3,1.92,0.07,47
닭볶음(닭갈비)_닭가슴살_피망,100g,122,16.39,5.65,1.38,0.29,2.6,0.65,0.03,62
당근볶음,100g,95,0.93,6.63,7.79,4.5,3.0,1.1,0.01,89
돼지고기볶음_김치,100g,161,11.81,10.05,5.93,2.9,2.1,2.99,0.06,96
돼지고기볶음_채소,100g,169,16.57,7.59,8.63,6.67,1.7,2.58,0.03,38
