food_name,serving_size,calories,protein,fat,carbohydrates,sugar,dietary_fiber,saturated_fat,trans_fat,natrium
,,,,,,,,,,369
,,,,,,,,,,497
,,,,,,,,,,138
,,,,,,,,,,400
,,,,,,,,,,723
,,,,,,,,,,480
,,,,,,,,,,535
,,,,,,,,,,400
,,,,,,,,,,470
,,,,,,,,,,440
,,,,,,,,,,288
,,,,,,,,,,401
,,,,,,,,,,325
,,,,,,,,,,300
,,,,,,,,,,392
,,,,,,,,,,447
,,,,,,,,,,437
,,,,,,,,,,1530
,,,,,,,,,,780
,,,,,,,,,,400
,,,,,,,,,,3
,,,,,,,,,,396
,,,,,,,,,,470
,,,,,,,,,,520
,,,,,,,,,,554
,,,,,,,,,,397
,,,,,,,,,,507
,,,,,,,,,,670
,,,,,,,,,,454
,,,,,,,,,,451
,,,,,,,,,,437
,,,,,,,,,,287
,,,,,,,,,,463
,,,,,,,,,,541
,,,,,,,,,,515
,,,,,,,,,,443
,,,,,,,,,,1390
,,,,,,,,,,308
,,,,,,,,,,520
,,,,,,,,,,512
,,,,,,,,,,445
,,,,,,,,,,632
,,,,,,,,,,456
,,,,,,,,,,700
,,,,,,,,,,300
,,,,,,,,,,360
,,,,,,,,,,1300
,,,,,,,,,,392
,,,,,,,,,,437
,,,,,,,,,,629
,,,,,,,,,,110
,,,,,,,,,,500
,,,,,,,,,,449
,,,,,,,,,,370
,,,,,,,,,,370
,,,,,,,,,,338
,,,,,,,,,,177
,,,,,,,,,,436
,,,,,,,,,,371
,,,,,,,,,,284
,,,,,,,,,,434
,,,,,,,,,,400
,,,,,,,,,,347
,,,,,,,,,,507
,,,,,,,,,,315
,,,,,,,,,,359
,,,,,,,,,,176
,,,,,,,,,,447
,,,,,,,,,,573
,,,,,,,,,,180
,,,,,,,,,,634
,,,,,,,,,,341
,,,,,,,,,,435
,,,,,,,,,,293
,,,,,,,,,,550
,,,,,,,,,,359
,,,,,,,,,,386
,,,,,,,,,,356
,,,,,,,,,,458
,,,,,,,,,,423
,,,,,,,,,,423
,,,,,,,,,,479
,,,,,,,,,,494
,,,,,,,,,,172
,,,,,,,,,,338
,,,,,,,,,,387
,,,,,,,,,,320
,,,,,,,,,,630
,,,,,,,,,,27
,,,,,,,,,,410
,,,,,,,,,,540
,,,,,,,,,,440
,,,,,,,,,,313
,,,,,,,,,,353
,,,,,,,,,,479
,,,,,,,,,,277
,,,,,,,,,,406
,,,,,,,,,,230
,,,,,,,,,,224
,,,,,,,,,,230
,,,,,,,,,,346
,,,,,,,,,,301
,,,,,,,,,,883
,,,,,,,,,,524
,,,,,,,,,,507
,,,,,,,,,,414
,,,,,,,,,,620
,,,,,,,,,,620
,,,,,,,,,,87
,,,,,,,,,,638
,,,,,,,,,,474
,,,,,,,,,,167
,,,,,,,,,,468
,,,,,,,,,,267
,,,,,,,,,,367
,,,,,,,,,,538
,,,,,,,,,,369
,,,,,,,,,,233
,,,,,,,,,,633
,,,,,,,,,,342
,,,,,,,,,,345
,,,,,,,,,,430
,,,,,,,,,,661
,,,,,,,,,,317
,,,,,,,,,,404
,,,,,,,,,,246
,,,,,,,,,,320
,,,,,,,,,,266
,,,,,,,,,,250
,,,,,,,,,,347
,,,,,,,,,,350
,,,,,,,,,,407
,,,,,,,,,,289
,,,,,,,,,,190
,,,,,,,,,,550
,,,,,,,,,,417
,,,,,,,,,,323
,,,,,,,,,,341
,,,,,,,,,,207
,,,,,,,,,,550
,,,,,,,,,,296
,,,,,,,,,,118
,,,,,,,,,,340
,,,,,,,,,,460
,,,,,,,,,,423
,,,,,,,,,,431
,,,,,,,,,,54
,,,,,,,,,,260
,,,,,,,,,,469
,,,,,,,,,,425
,,,,,,,,,,561
,,,,,,,,,,669
,,,,,,,,,,408
,,,,,,,,,,360
,,,,,,,,,,303
,,,,,,,,,,378
,,,,,,,,,,654
,,,,,,,,,,378
,,,,,,,,,,159
,,,,,,,,,,45
,,,,,,,,,,45
,,,,,,,,,,410
,,,,,,,,,,535
,,,,,,,,,,176
,,,,,,,,,,544
,,,,,,,,,,232
,,,,,,,,,,417
,,,,,,,,,,350
,,,,,,,,,,425
,,,,,,,,,,437
,,,,,,,,,,318
,,,,,,,,,,336
,,,,,,,,,,316
,,,,,,,,,,397
,,,,,,,,,,423
,,,,,,,,,,372
,,,,,,,,,,266
,,,,,,,,,,392
,,,,,,,,,,383
,,,,,,,,,,252
,,,,,,,,,,409
,,,,,,,,,,369
,,,,,,,,,,409
,,,,,,,,,,391
,,,,,,,,,,418
,,,,,,,,,,473
,,,,,,,,,,178
,,,,,,,,,,500
,,,,,,,,,,439
,,,,,,,,,,508
,,,,,,,,,,617
,,,,,,,,,,467
,,,,,,,,,,474
,,,,,,,,,,458
,,,,,,,,,,471
,,,,,,,,,,381
,,,,,,,,,,243
,,,,,,,,,,450
,,,,,,,,,,451
,,,,,,,,,,255
,,,,,,,,,,457
,,,,,,,,,,385
,,,,,,,,,,332
,,,,,,,,,,252
,,,,,,,,,,800
,,,,,,,,,,610
,,,,,,,,,,580
,,,,,,,,,,471
,,,,,,,,,,426
,,,,,,,,,,515
,,,,,,,,,,200
,,,,,,,,,,450
,,,,,,,,,,461
,,,,,,,,,,378
,,,,,,,,,,389
,,,,,,,,,,397
,,,,,,,,,,425
,,,,,,,,,,212
,,,,,,,,,,254
,,,,,,,,,,453
,,,,,,,,,,482
,,,,,,,,,,384
,,,,,,,,,,223
,,,,,,,,,,240
,,,,,,,,,,528
,,,,,,,,,,169
,,,,,,,,,,32
,,,,,,,,,,670
,,,,,,,,,,450
,,,,,,,,,,410
,,,,,,,,,,347
,,,,,,,,,,265
,,,,,,,,,,361
,,,,,,,,,,221
,,,,,,,,,,243
,,,,,,,,,,228
,,,,,,,,,,509
,,,,,,,,,,336
,,,,,,,,,,539
,,,,,,,,,,447
,,,,,,,,,,420
,,,,,,,,,,301
,,,,,,,,,,580
,,,,,,,,,,301
,,,,,,,,,,557
,,,,,,,,,,506
,,,,,,,,,,378
,,,,,,,,,,446
,,,,,,,,,,442
,,,,,,,,,,306
,,,,,,,,,,234
,,,,,,,,,,219
,,,,,,,,,,394
,,,,,,,,,,292
,,,,,,,,,,539
,,,,,,,,,,380
,,,,,,,,,,361
,,,,,,,,,,194
,,,,,,,,,,255
,,,,,,,,,,570
,,,,,,,,,,540
,,,,,,,,,,580
,,,,,,,,,,575
,,,,,,,,,,545
,,,,,,,,,,505
,,,,,,,,,,462
,,,,,,,,,,339
,,,,,,,,,,113
,,,,,,,,,,344
,,,,,,,,,,597
,,,,,,,,,,400
,,,,,,,,,,609
,,,,,,,,,,373
,,,,,,,,,,400
,,,,,,,,,,410
,,,,,,,,,,478
,,,,,,,,,,600
,,,,,,,,,,437
,,,,,,,,,,442
,,,,,,,,,,442
,,,,,,,,,,328
,,,,,,,,,,600
,,,,,,,,,,348
,,,,,,,,,,369
,,,,,,,,,,254
,,,,,,,,,,650
,,,,,,,,,,239
,,,,,,,,,,412
,,,,,,,,,,173
,,,,,,,,,,462
,,,,,,,,,,529
,,,,,,,,,,369
,,,,,,,,,,318
,,,,,,,,,,504
,,,,,,,,,,243
,,,,,,,,,,412
,,,,,,,,,,226
,,,,,,,,,,348
,,,,,,,,,,345
,,,,,,,,,,275
,,,,,,,,,,162
,,,,,,,,,,451
,,,,,,,,,,374
,,,,,,,,,,442
,,,,,,,,,,450
,,,,,,,,,,507
,,,,,,,,,,370
,,,,,,,,,,322
,,,,,,,,,,463
,,,,,,,,,,418
,,,,,,,,,,446
,,,,,,,,,,480
,,,,,,,,,,400
,,,,,,,,,,250
,,,,,,,,,,451
,,,,,,,,,,450
,,,,,,,,,,620
,,,,,,,,,,457
,,,,,,,,,,545
,,,,,,,,,,520
,,,,,,,,,,278
,,,,,,,,,,365
,,,,,,,,,,500
,,,,,,,,,,207
,,,,,,,,,,380
,,,,,,,,,,25
,,,,,,,,,,25
,,,,,,,,,,461
,,,,,,,,,,458
,,,,,,,,,,426
,,,,,,,,,,463
,,,,,,,,,,514
,,,,,,,,,,500
,,,,,,,,,,503
,,,,,,,,,,404
,,,,,,,,,,425
,,,,,,,,,,471
,,,,,,,,,,393
,,,,,,,,,,670
,,,,,,,,,,233
,,,,,,,,,,412
,,,,,,,,,,509
,,,,,,,,,,609
,,,,,,,,,,464
,,,,,,,,,,260
,,,,,,,,,,1500
,,,,,,,,,,464
,,,,,,,,,,464
,,,,,,,,,,620
,,,,,,,,,,485
,,,,,,,,,,503
,,,,,,,,,,404
,,,,,,,,,,425
,,,,,,,,,,471
,,,,,,,,,,393
,,,,,,,,,,463
,,,,,,,,,,486
,,,,,,,,,,650
,,,,,,,,,,442
,,,,,,,,,,28
,,,,,,,,,,563
,,,,,,,,,,563
,,,,,,,,,,363
,,,,,,,,,,363
,,,,,,,,,,395
,,,,,,,,,,395
,,,,,,,,,,406
,,,,,,,,,,412
,,,,,,,,,,396
,,,,,,,,,,417
,,,,,,,,,,395
,,,,,,,,,,395
,,,,,,,,,,102
,,,,,,,,,,236
,,,,,,,,,,364
,,,,,,,,,,508
,,,,,,,,,,33
,,,,,,,,,,561
,,,,,,,,,,640
,,,,,,,,,,474
,,,,,,,,,,539
,,,,,,,,,,390
,,,,,,,,,,522
,,,,,,,,,,373
,,,,,,,,,,482
,,,,,,,,,,380
,,,,,,,,,,261
,,,,,,,,,,464
,,,,,,,,,,467
,,,,,,,,,,470
,,,,,,,,,,482
,,,,,,,,,,250
,,,,,,,,,,534
,,,,,,,,,,10
,,,,,,,,,,5
,,,,,,,,,,127
,,,,,,,,,,5
,,,,,,,,,,527
,,,,,,,,,,206
,,,,,,,,,,206
,,,,,,,,,,31
,,,,,,,,,,15
,,,,,,,,,,132
,,,,,,,,,,560
,,,,,,,,,,414
,,,,,,,,,,208
,,,,,,,,,,330
,,,,,,,,,,611
,,,,,,,,,,566
,,,,,,,,,,625
,,,,,,,,,,695
,,,,,,,,,,667
,,,,,,,,,,583
,,,,,,,,,,556
,,,,,,,,,,470
,,,,,,,,,,375
,,,,,,,,,,617
,,,,,,,,,,688
,,,,,,,,,,478
,,,,,,,,,,387
,,,,,,,,,,534
,,,,,,,,,,604
,,,,,,,,,,687
,,,,,,,,,,482
,,,,,,,,,,479
,,,,,,,,,,146
,,,,,,,,,,98
,,,,,,,,,,418
,,,,,,,,,,42
,,,,,,,,,,460
,,,,,,,,,,395
,,,,,,,,,,364
,,,,,,,,,,48
,,,,,,,,,,48
,,,,,,,,,,29
,,,,,,,,,,691
,,,,,,,,,,461
,,,,,,,,,,458
,,,,,,,,,,458
,,,,,,,,,,426
,,,,,,,,,,463
,,,,,,,,,,162
,,,,,,,,,,455
,,,,,,,,,,473
,,,,,,,,,,491
,,,,,,,,,,491
,,,,,,,,,,468
,,,,,,,,,,556
,,,,,,,,,,437
,,,,,,,,,,417
,,,,,,,,,,207
,,,,,,,,,,508
,,,,,,,,,,499
,,,,,,,,,,100
,,,,,,,,,,604
,,,,,,,,,,200
,,,,,,,,,,30
,,,,,,,,,,30
,,,,,,,,,,30
,,,,,,,,,,591
,,,,,,,,,,436
,,,,,,,,,,420
,,,,,,,,,,452
,,,,,,,,,,1266
,,,,,,,,,,460
,,,,,,,,,,468
,,,,,,,,,,438
,,,,,,,,,,552
,,,,,,,,,,388
,,,,,,,,,,460
,,,,,,,,,,628
,,,,,,,,,,593
,,,,,,,,,,550
,,,,,,,,,,488
,,,,,,,,,,29
,,,,,,,,,,500
,,,,,,,,,,272
,,,,,,,,,,617
,,,,,,,,,,417
,,,,,,,,,,458
,,,,,,,,,,470
,,,,,,,,,,515
,,,,,,,,,,393
,,,,,,,,,,480
,,,,,,,,,,28
,,,,,,,,,,1500
,,,,,,,,,,410
,,,,,,,,,,85
,,,,,,,,,,428
,,,,,,,,,,545
,,,,,,,,,,269
,,,,,,,,,,510
,,,,,,,,,,339
,,,,,,,,,,561
,,,,,,,,,,669
,,,,,,,,,,508
,,,,,,,,,,314
,,,,,,,,,,560
,,,,,,,,,,380
,,,,,,,,,,280
,,,,,,,,,,490
,,,,,,,,,,410
,,,,,,,,,,360
,,,,,,,,,,314
,,,,,,,,,,390
,,,,,,,,,,590
,,,,,,,,,,390
,,,,,,,,,,470
,,,,,,,,,,440
,,,,,,,,,,350
,,,,,,,,,,450
,,,,,,,,,,480
,,,,,,,,,,420
,,,,,,,,,,280
,,,,,,,,,,445
,,,,,,,,,,261
,,,,,,,,,,261
,,,,,,,,,,507
,,,,,,,,,,422
,,,,,,,,,,586
,,,,,,,,,,560
,,,,,,,,,,400
,,,,,,,,,,427
,,,,,,,,,,680
,,,,,,,,,,327
,,,,,,,,,,611
,,,,,,,,,,695
,,,,,,,,,,667
,,,,,,,,,,415
,,,,,,,,,,79
,,,,,,,,,,465
,,,,,,,,,,506
,,,,,,,,,,375
,,,,,,,,,,470
,,,,,,,,,,449
,,,,,,,,,,688
,,,,,,,,,,416
,,,,,,,,,,270
,,,,,,,,,,519
,,,,,,,,,,480
,,,,,,,,,,223
,,,,,,,,,,500
,,,,,,,,,,554
,,,,,,,,,,488
,,,,,,,,,,480
,,,,,,,,,,249
,,,,,,,,,,418
,,,,,,,,,,264
,,,,,,,,,,664
,,,,,,,,,,508
,,,,,,,,,,27
,,,,,,,,,,50
,,,,,,,,,,344
,,,,,,,,,,181
,,,,,,,,,,233
,,,,,,,,,,153
,,,,,,,,,,190
,,,,,,,,,,229
,,,,,,,,,,242
,,,,,,,,,,58
,,,,,,,,,,175
,,,,,,,,,,197
,,,,,,,,,,190
,,,,,,,,,,101
,,,,,,,,,,188
,,,,,,,,,,90
,,,,,,,,,,192
,,,,,,,,,,33
,,,,,,,,,,25
,,,,,,,,,,179
,,,,,,,,,,146
,,,,,,,,,,59
,,,,,,,,,,98
,,,,,,,,,,1
,,,,,,,,,,45
,,,,,,,,,,49
,,,,,,,,,,171
,,,,,,,,,,30
,,,,,,,,,,559
,,,,,,,,,,97
,,,,,,,,,,90
,,,,,,,,,,128
,,,,,,,,,,344
,,,,,,,,,,249
,,,,,,,,,,249
,,,,,,,,,,52
,,,,,,,,,,175
,,,,,,,,,,55
,,,,,,,,,,246
,,,,,,,,,,193
,,,,,,,,,,10
,,,,,,,,,,558
,,,,,,,,,,67
,,,,,,,,,,625
,,,,,,,,,,50
,,,,,,,,,,293
,,,,,,,,,,158
,,,,,,,,,,487
,,,,,,,,,,83
,,,,,,,,,,225
,,,,,,,,,,140
,,,,,,,,,,198
,,,,,,,,,,201
,,,,,,,,,,57
,,,,,,,,,,378
,,,,,,,,,,400
,,,,,,,,,,400
,,,,,,,,,,306
,,,,,,,,,,51
,,,,,,,,,,446
,,,,,,,,,,627
,,,,,,,,,,195
,,,,,,,,,,150
,,,,,,,,,,420
,,,,,,,,,,357
,,,,,,,,,,440
,,,,,,,,,,400
,,,,,,,,,,400
,,,,,,,,,,533
,,,,,,,,,,162
,,,,,,,,,,274
,,,,,,,,,,45
,,,,,,,,,,350
,,,,,,,,,,630
,,,,,,,,,,373
,,,,,,,,,,490
,,,,,,,,,,470
,,,,,,,,,,55
,,,,,,,,,,924
,,,,,,,,,,730
,,,,,,,,,,150
,,,,,,,,,,208
,,,,,,,,,,30
,,,,,,,,,,177
,,,,,,,,,,172
,,,,,,,,,,250
,,,,,,,,,,357
,,,,,,,,,,777
,,,,,,,,,,380
,,,,,,,,,,520
,,,,,,,,,,440
,,,,,,,,,,490
,,,,,,,,,,245
,,,,,,,,,,1200
,,,,,,,,,,570
,,,,,,,,,,253
,,,,,,,,,,145
,,,,,,,,,,261
,,,,,,,,,,280
,,,,,,,,,,170
,,,,,,,,,,833
,,,,,,,,,,204
,,,,,,,,,,50
,,,,,,,,,,741
,,,,,,,,,,309
,,,,,,,,,,296
,,,,,,,,,,592
,,,,,,,,,,640
,,,,,,,,,,510
,,,,,,,,,,233
,,,,,,,,,,305
,,,,,,,,,,504
,,,,,,,,,,360
,,,,,,,,,,318
,,,,,,,,,,367
,,,,,,,,,,454
,,,,,,,,,,621
,,,,,,,,,,747
,,,,,,,,,,466
,,,,,,,,,,386
,,,,,,,,,,160
,,,,,,,,,,82
,,,,,,,,,,480
,,,,,,,,,,102
,,,,,,,,,,517
,,,,,,,,,,341
,,,,,,,,,,117
,,,,,,,,,,288
,,,,,,,,,,0
,,,,,,,,,,82
,,,,,,,,,,143
,,,,,,,,,,187
,,,,,,,,,,340
,,,,,,,,,,230
,,,,,,,,,,113
,,,,,,,,,,118
,,,,,,,,,,100
,,,,,,,,,,118
,,,,,,,,,,390
,,,,,,,,,,125
,,,,,,,,,,120
,,,,,,,,,,132
,,,,,,,,,,100
,,,,,,,,,,108
,,,,,,,,,,109
,,,,,,,,,,118
,,,,,,,,,,380
,,,,,,,,,,55
,,,,,,,,,,444
,,,,,,,,,,290
,,,,,,,,,,570
,,,,,,,,,,167
,,,,,,,,,,220
,,,,,,,,,,167
,,,,,,,,,,125
,,,,,,,,,,88
,,,,,,,,,,185
,,,,,,,,,,186
,,,,,,,,,,142
,,,,,,,,,,171
,,,,,,,,,,275
,,,,,,,,,,446
,,,,,,,,,,272
,,,,,,,,,,82
,,,,,,,,,,136
,,,,,,,,,,85
,,,,,,,,,,250
,,,,,,,,,,161
,,,,,,,,,,29
,,,,,,,,,,125
,,,,,,,,,,179
,,,,,,,,,,290
,,,,,,,,,,200
,,,,,,,,,,277
,,,,,,,,,,250
,,,,,,,,,,320
,,,,,,,,,,278
,,,,,,,,,,350
,,,,,,,,,,50
,,,,,,,,,,214
,,,,,,,,,,1340
,,,,,,,,,,242
,,,,,,,,,,155
,,,,,,,,,,363
,,,,,,,,,,367
,,,,,,,,,,200
,,,,,,,,,,493
,,,,,,,,,,670
,,,,,,,,,,543
,,,,,,,,,,511
,,,,,,,,,,444
,,,,,,,,,,420
,,,,,,,,,,317
,,,,,,,,,,462
,,,,,,,,,,464
,,,,,,,,,,488
,,,,,,,,,,280
,,,,,,,,,,275
,,,,,,,,,,257
,,,,,,,,,,324
,,,,,,,,,,460
,,,,,,,,,,386
,,,,,,,,,,285
,,,,,,,,,,1230
,,,,,,,,,,181
,,,,,,,,,,773
,,,,,,,,,,242
,,,,,,,,,,284
,,,,,,,,,,343
,,,,,,,,,,304
,,,,,,,,,,431
,,,,,,,,,,530
,,,,,,,,,,545
,,,,,,,,,,385
,,,,,,,,,,340
,,,,,,,,,,214
,,,,,,,,,,492
,,,,,,,,,,360
,,,,,,,,,,307
,,,,,,,,,,221
,,,,,,,,,,190
,,,,,,,,,,364
,,,,,,,,,,134
,,,,,,,,,,100
,,,,,,,,,,172
,,,,,,,,,,283
,,,,,,,,,,220
,,,,,,,,,,441
,,,,,,,,,,110
,,,,,,,,,,114
,,,,,,,,,,100
,,,,,,,,,,129
,,,,,,,,,,140
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,300
,,,,,,,,,,222
,,,,,,,,,,203
,,,,,,,,,,233
,,,,,,,,,,184
,,,,,,,,,,240
,,,,,,,,,,230
,,,,,,,,,,566
,,,,,,,,,,369
,,,,,,,,,,146
,,,,,,,,,,513
,,,,,,,,,,563
,,,,,,,,,,217
,,,,,,,,,,88
,,,,,,,,,,95
,,,,,,,,,,71
,,,,,,,,,,90
,,,,,,,,,,136
,,,,,,,,,,109
,,,,,,,,,,544
,,,,,,,,,,222
,,,,,,,,,,144
,,,,,,,,,,270
,,,,,,,,,,140
,,,,,,,,,,309
,,,,,,,,,,220
,,,,,,,,,,464
,,,,,,,,,,585
,,,,,,,,,,53
,,,,,,,,,,55
,,,,,,,,,,56
,,,,,,,,,,518
,,,,,,,,,,414
,,,,,,,,,,114
,,,,,,,,,,30
,,,,,,,,,,370
,,,,,,,,,,595
,,,,,,,,,,669
,,,,,,,,,,181
,,,,,,,,,,256
,,,,,,,,,,379
,,,,,,,,,,112
,,,,,,,,,,50
,,,,,,,,,,355
,,,,,,,,,,190
,,,,,,,,,,207
,,,,,,,,,,280
,,,,,,,,,,200
,,,,,,,,,,86
,,,,,,,,,,310
,,,,,,,,,,180
,,,,,,,,,,276
,,,,,,,,,,140
,,,,,,,,,,818
,,,,,,,,,,750
,,,,,,,,,,500
,,,,,,,,,,350
,,,,,,,,,,171
,,,,,,,,,,296
,,,,,,,,,,0
,,,,,,,,,,123
,,,,,,,,,,123
,,,,,,,,,,123
,,,,,,,,,,21
,,,,,,,,,,307
,,,,,,,,,,213
,,,,,,,,,,592
,,,,,,,,,,270
,,,,,,,,,,530
,,,,,,,,,,433
,,,,,,,,,,108
,,,,,,,,,,113
,,,,,,,,,,251
,,,,,,,,,,235
,,,,,,,,,,26
,,,,,,,,,,390
,,,,,,,,,,600
,,,,,,,,,,180
,,,,,,,,,,28
,,,,,,,,,,410
,,,,,,,,,,268
,,,,,,,,,,546
,,,,,,,,,,503
,,,,,,,,,,544
,,,,,,,,,,350
,,,,,,,,,,355
,,,,,,,,,,610
,,,,,,,,,,280
,,,,,,,,,,140
,,,,,,,,,,270
,,,,,,,,,,360
,,,,,,,,,,270
,,,,,,,,,,270
,,,,,,,,,,140
,,,,,,,,,,53
,,,,,,,,,,56
,,,,,,,,,,73
,,,,,,,,,,120
,,,,,,,,,,121
,,,,,,,,,,93
,,,,,,,,,,298
,,,,,,,,,,47
,,,,,,,,,,55
,,,,,,,,,,214
,,,,,,,,,,313
,,,,,,,,,,313
,,,,,,,,,,134
,,,,,,,,,,142
,,,,,,,,,,270
,,,,,,,,,,270
,,,,,,,,,,547
,,,,,,,,,,210
,,,,,,,,,,590
,,,,,,,,,,92
,,,,,,,,,,125
,,,,,,,,,,130
,,,,,,,,,,130
,,,,,,,,,,77
,,,,,,,,,,144
,,,,,,,,,,488
,,,,,,,,,,488
,,,,,,,,,,39
,,,,,,,,,,315
,,,,,,,,,,315
,,,,,,,,,,113
,,,,,,,,,,154
,,,,,,,,,,175
,,,,,,,,,,390
,,,,,,,,,,240
,,,,,,,,,,211
,,,,,,,,,,190
,,,,,,,,,,250
,,,,,,,,,,300
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,200
,,,,,,,,,,176
,,,,,,,,,,168
,,,,,,,,,,152
,,,,,,,,,,320
,,,,,,,,,,214
,,,,,,,,,,156
,,,,,,,,,,201
,,,,,,,,,,227
,,,,,,,,,,200
,,,,,,,,,,190
,,,,,,,,,,83
,,,,,,,,,,200
,,,,,,,,,,301
,,,,,,,,,,248
,,,,,,,,,,225
,,,,,,,,,,196
,,,,,,,,,,224
,,,,,,,,,,189
,,,,,,,,,,230
,,,,,,,,,,304
,,,,,,,,,,152
,,,,,,,,,,120
,,,,,,,,,,120
,,,,,,,,,,131
,,,,,,,,,,29
,,,,,,,,,,220
,,,,,,,,,,130
,,,,,,,,,,204
,,,,,,,,,,50
,,,,,,,,,,164
,,,,,,,,,,340
,,,,,,,,,,310
,,,,,,,,,,390
,,,,,,,,,,212
,,,,,,,,,,247
,,,,,,,,,,384
,,,,,,,,,,271
,,,,,,,,,,200
,,,,,,,,,,305
,,,,,,,,,,222
,,,,,,,,,,280
,,,,,,,,,,364
,,,,,,,,,,163
,,,,,,,,,,247
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,411
,,,,,,,,,,428
,,,,,,,,,,542
,,,,,,,,,,190
,,,,,,,,,,124
,,,,,,,,,,215
,,,,,,,,,,144
,,,,,,,,,,257
,,,,,,,,,,165
,,,,,,,,,,146
,,,,,,,,,,183
,,,,,,,,,,51
,,,,,,,,,,292
,,,,,,,,,,250
,,,,,,,,,,190
,,,,,,,,,,129
,,,,,,,,,,333
,,,,,,,,,,90
,,,,,,,,,,82
,,,,,,,,,,180
,,,,,,,,,,186
,,,,,,,,,,400
,,,,,,,,,,500
,,,,,,,,,,327
,,,,,,,,,,45
,,,,,,,,,,78
,,,,,,,,,,273
,,,,,,,,,,260
,,,,,,,,,,149
,,,,,,,,,,256
,,,,,,,,,,93
,,,,,,,,,,216
,,,,,,,,,,88
,,,,,,,,,,148
,,,,,,,,,,476
,,,,,,,,,,250
,,,,,,,,,,353
,,,,,,,,,,322
,,,,,,,,,,280
,,,,,,,,,,240
,,,,,,,,,,170
,,,,,,,,,,364
,,,,,,,,,,364
,,,,,,,,,,264
,,,,,,,,,,128
,,,,,,,,,,233
,,,,,,,,,,143
,,,,,,,,,,175
,,,,,,,,,,175
,,,,,,,,,,39
,,,,,,,,,,218
,,,,,,,,,,43
,,,,,,,,,,1800
,,,,,,,,,,74
,,,,,,,,,,344
,,,,,,,,,,294
,,,,,,,,,,315
,,,,,,,,,,350
,,,,,,,,,,307
,,,,,,,,,,238
,,,,,,,,,,883
,,,,,,,,,,364
,,,,,,,,,,153
,,,,,,,,,,153
,,,,,,,,,,286
,,,,,,,,,,640
,,,,,,,,,,900
,,,,,,,,,,300
,,,,,,,,,,330
,,,,,,,,,,313
,,,,,,,,,,169
,,,,,,,,,,280
,,,,,,,,,,326
,,,,,,,,,,169
,,,,,,,,,,447
,,,,,,,,,,375
,,,,,,,,,,375
,,,,,,,,,,36
,,,,,,,,,,130
,,,,,,,,,,175
,,,,,,,,,,294
,,,,,,,,,,43
,,,,,,,,,,190
,,,,,,,,,,102
,,,,,,,,,,410
,,,,,,,,,,189
,,,,,,,,,,427
,,,,,,,,,,210
,,,,,,,,,,106
,,,,,,,,,,40
,,,,,,,,,,81
,,,,,,,,,,480
,,,,,,,,,,136
,,,,,,,,,,217
,,,,,,,,,,330
,,,,,,,,,,130
,,,,,,,,,,70
,,,,,,,,,,40
,,,,,,,,,,438
,,,,,,,,,,40
,,,,,,,,,,400
,,,,,,,,,,135
,,,,,,,,,,362
,,,,,,,,,,398
,,,,,,,,,,457
,,,,,,,,,,449
,,,,,,,,,,338
,,,,,,,,,,453
,,,,,,,,,,322
,,,,,,,,,,351
,,,,,,,,,,289
,,,,,,,,,,67
,,,,,,,,,,188
,,,,,,,,,,295
,,,,,,,,,,295
,,,,,,,,,,640
,,,,,,,,,,597
,,,,,,,,,,2
,,,,,,,,,,721
,,,,,,,,,,542
,,,,,,,,,,547
,,,,,,,,,,257
,,,,,,,,,,192
,,,,,,,,,,333
,,,,,,,,,,208
,,,,,,,,,,186
,,,,,,,,,,930
,,,,,,,,,,0
,,,,,,,,,,516
,,,,,,,,,,556
,,,,,,,,,,398
,,,,,,,,,,900
,,,,,,,,,,277
,,,,,,,,,,80
,,,,,,,,,,57
,,,,,,,,,,60
,,,,,,,,,,105
,,,,,,,,,,218
,,,,,,,,,,158
,,,,,,,,,,180
,,,,,,,,,,730
,,,,,,,,,,90
,,,,,,,,,,100
,,,,,,,,,,191
,,,,,,,,,,133
,,,,,,,,,,700
,,,,,,,,,,500
,,,,,,,,,,260
,,,,,,,,,,402
,,,,,,,,,,514
,,,,,,,,,,477
,,,,,,,,,,1000
,,,,,,,,,,400
,,,,,,,,,,500
,,,,,,,,,,409
,,,,,,,,,,409
,,,,,,,,,,330
,,,,,,,,,,422
,,,,,,,,,,289
,,,,,,,,,,318
,,,,,,,,,,240
,,,,,,,,,,398
,,,,,,,,,,288
,,,,,,,,,,51
,,,,,,,,,,291
,,,,,,,,,,284
,,,,,,,,,,126
,,,,,,,,,,151
,,,,,,,,,,133
,,,,,,,,,,11
,,,,,,,,,,170
,,,,,,,,,,274
,,,,,,,,,,340
,,,,,,,,,,530
,,,,,,,,,,251
,,,,,,,,,,176
,,,,,,,,,,354
,,,,,,,,,,255
,,,,,,,,,,883
,,,,,,,,,,425
,,,,,,,,,,417
,,,,,,,,,,433
,,,,,,,,,,226
,,,,,,,,,,208
,,,,,,,,,,74
,,,,,,,,,,153
,,,,,,,,,,457
,,,,,,,,,,90
,,,,,,,,,,108
,,,,,,,,,,100
,,,,,,,,,,200
,,,,,,,,,,396
,,,,,,,,,,88
,,,,,,,,,,34
